HEADER
VTF File Version,1.0
VTF File Type,0
PID,6776
Generated on,2026-06-12 19:49:49
Resolution,ms
Min Resolution,us
Trace Version,1.0
XRT Version,0.0.0
Tool Version,2020.1

STRUCTURE
Group_Start,DPU
Dynamic_Row, 1, DPU_0
Group_End,DPU

MAPPING
1,
2,subgraph_ResNet__ResNet_AdaptiveAvgPool2d_avgpool__10404_fix

EVENTS
1,0,2404.954000,1,VART_RUNNER,2,6776,1,8.2,743.22,186,1,1,,
2,1,2415.987000,1,VART_RUNNER,2,6776,1,8.2,743.22,186,1,1,,
3,0,2588.773000,1,VART_RUNNER,2,6776,1,8.2,722.72,186,1,1,,
4,3,2600.119000,1,VART_RUNNER,2,6776,1,8.2,722.72,186,1,1,,
5,0,2615.066000,1,VART_RUNNER,2,6776,1,8.2,743.56,186,1,1,,
6,5,2626.094000,1,VART_RUNNER,2,6776,1,8.2,743.56,186,1,1,,
7,0,2672.634000,1,VART_RUNNER,2,6776,1,8.2,742.35,186,1,1,,
8,7,2683.680000,1,VART_RUNNER,2,6776,1,8.2,742.35,186,1,1,,
9,0,2768.586000,1,VART_RUNNER,2,6776,1,8.2,741.61,186,1,1,,
10,9,2779.643000,1,VART_RUNNER,2,6776,1,8.2,741.61,186,1,1,,
11,0,2865.147000,1,VART_RUNNER,2,6776,1,8.2,740.21,186,1,1,,
12,11,2876.225000,1,VART_RUNNER,2,6776,1,8.2,740.21,186,1,1,,
13,0,2954.606000,1,VART_RUNNER,2,6776,1,8.2,743.09,186,1,1,,
14,13,2965.641000,1,VART_RUNNER,2,6776,1,8.2,743.09,186,1,1,,
15,0,3050.621000,1,VART_RUNNER,2,6776,1,8.2,741.95,186,1,1,,
16,15,3061.673000,1,VART_RUNNER,2,6776,1,8.2,741.95,186,1,1,,
17,0,3146.667000,1,VART_RUNNER,2,6776,1,8.2,743.7,186,1,1,,
18,17,3157.693000,1,VART_RUNNER,2,6776,1,8.2,743.7,186,1,1,,
19,0,3236.600000,1,VART_RUNNER,2,6776,1,8.2,743.02,186,1,1,,
20,19,3247.636000,1,VART_RUNNER,2,6776,1,8.2,743.02,186,1,1,,
21,0,3332.580000,1,VART_RUNNER,2,6776,1,8.2,743.9,186,1,1,,
22,21,3343.603000,1,VART_RUNNER,2,6776,1,8.2,743.9,186,1,1,,
23,0,3428.539000,1,VART_RUNNER,2,6776,1,8.2,743.29,186,1,1,,
24,23,3439.571000,1,VART_RUNNER,2,6776,1,8.2,743.29,186,1,1,,
25,0,3518.868000,1,VART_RUNNER,2,6776,1,8.2,741.08,186,1,1,,
26,25,3529.933000,1,VART_RUNNER,2,6776,1,8.2,741.08,186,1,1,,
27,0,3614.617000,1,VART_RUNNER,2,6776,1,8.2,742.48,186,1,1,,
28,27,3625.661000,1,VART_RUNNER,2,6776,1,8.2,742.48,186,1,1,,
29,0,3710.562000,1,VART_RUNNER,2,6776,1,8.2,742.69,186,1,1,,
30,29,3721.603000,1,VART_RUNNER,2,6776,1,8.2,742.69,186,1,1,,
31,0,3800.608000,1,VART_RUNNER,2,6776,1,8.2,741.75,186,1,1,,
32,31,3811.663000,1,VART_RUNNER,2,6776,1,8.2,741.75,186,1,1,,
33,0,3896.616000,1,VART_RUNNER,2,6776,1,8.2,741.01,186,1,1,,
34,33,3907.682000,1,VART_RUNNER,2,6776,1,8.2,741.01,186,1,1,,
35,0,3992.616000,1,VART_RUNNER,2,6776,1,8.2,742.35,186,1,1,,
36,35,4003.662000,1,VART_RUNNER,2,6776,1,8.2,742.35,186,1,1,,
37,0,4082.931000,1,VART_RUNNER,2,6776,1,8.2,743.7,186,1,1,,
38,37,4093.957000,1,VART_RUNNER,2,6776,1,8.2,743.7,186,1,1,,
39,0,4178.606000,1,VART_RUNNER,2,6776,1,8.2,742.28,186,1,1,,
40,39,4189.653000,1,VART_RUNNER,2,6776,1,8.2,742.28,186,1,1,,
41,0,4268.703000,1,VART_RUNNER,2,6776,1,8.2,743.29,186,1,1,,
42,41,4279.735000,1,VART_RUNNER,2,6776,1,8.2,743.29,186,1,1,,
43,0,4364.625000,1,VART_RUNNER,2,6776,1,8.2,742.42,186,1,1,,
44,43,4375.670000,1,VART_RUNNER,2,6776,1,8.2,742.42,186,1,1,,
45,0,4460.574000,1,VART_RUNNER,2,6776,1,8.2,742.35,186,1,1,,
46,45,4471.620000,1,VART_RUNNER,2,6776,1,8.2,742.35,186,1,1,,
47,0,4550.608000,1,VART_RUNNER,2,6776,1,8.2,742.08,186,1,1,,
48,47,4561.658000,1,VART_RUNNER,2,6776,1,8.2,742.08,186,1,1,,
49,0,4646.591000,1,VART_RUNNER,2,6776,1,8.2,742.08,186,1,1,,
50,49,4657.641000,1,VART_RUNNER,2,6776,1,8.2,742.08,186,1,1,,
51,0,4742.491000,1,VART_RUNNER,2,6776,1,8.2,740.87,186,1,1,,
52,51,4753.559000,1,VART_RUNNER,2,6776,1,8.2,740.87,186,1,1,,
53,0,4832.633000,1,VART_RUNNER,2,6776,1,8.2,743.22,186,1,1,,
54,53,4843.666000,1,VART_RUNNER,2,6776,1,8.2,743.22,186,1,1,,
55,0,4928.568000,1,VART_RUNNER,2,6776,1,8.2,742.82,186,1,1,,
56,55,4939.607000,1,VART_RUNNER,2,6776,1,8.2,742.82,186,1,1,,
57,0,5024.534000,1,VART_RUNNER,2,6776,1,8.2,744.3,186,1,1,,
58,57,5035.551000,1,VART_RUNNER,2,6776,1,8.2,744.3,186,1,1,,
59,0,5114.552000,1,VART_RUNNER,2,6776,1,8.2,743.16,186,1,1,,
60,59,5125.586000,1,VART_RUNNER,2,6776,1,8.2,743.16,186,1,1,,
61,0,5210.582000,1,VART_RUNNER,2,6776,1,8.2,742.69,186,1,1,,
62,61,5221.623000,1,VART_RUNNER,2,6776,1,8.2,742.69,186,1,1,,
63,0,5306.540000,1,VART_RUNNER,2,6776,1,8.2,742.55,186,1,1,,
64,63,5317.583000,1,VART_RUNNER,2,6776,1,8.2,742.55,186,1,1,,
65,0,5396.593000,1,VART_RUNNER,2,6776,1,8.2,742.15,186,1,1,,
66,65,5407.642000,1,VART_RUNNER,2,6776,1,8.2,742.15,186,1,1,,
67,0,5492.569000,1,VART_RUNNER,2,6776,1,8.2,742.62,186,1,1,,
68,67,5503.611000,1,VART_RUNNER,2,6776,1,8.2,742.62,186,1,1,,
69,0,5582.622000,1,VART_RUNNER,2,6776,1,8.2,742.42,186,1,1,,
70,69,5593.667000,1,VART_RUNNER,2,6776,1,8.2,742.42,186,1,1,,
71,0,5678.561000,1,VART_RUNNER,2,6776,1,8.2,744.1,186,1,1,,
72,71,5689.581000,1,VART_RUNNER,2,6776,1,8.2,744.1,186,1,1,,
73,0,5774.564000,1,VART_RUNNER,2,6776,1,8.2,742.82,186,1,1,,
74,73,5785.603000,1,VART_RUNNER,2,6776,1,8.2,742.82,186,1,1,,
75,0,5864.658000,1,VART_RUNNER,2,6776,1,8.2,743.43,186,1,1,,
76,75,5875.688000,1,VART_RUNNER,2,6776,1,8.2,743.43,186,1,1,,
77,0,5960.650000,1,VART_RUNNER,2,6776,1,8.2,741.61,186,1,1,,
78,77,5971.707000,1,VART_RUNNER,2,6776,1,8.2,741.61,186,1,1,,
79,0,6056.578000,1,VART_RUNNER,2,6776,1,8.2,743.76,186,1,1,,
80,79,6067.603000,1,VART_RUNNER,2,6776,1,8.2,743.76,186,1,1,,
81,0,6146.594000,1,VART_RUNNER,2,6776,1,8.2,741.95,186,1,1,,
82,81,6157.646000,1,VART_RUNNER,2,6776,1,8.2,741.95,186,1,1,,
83,0,6242.536000,1,VART_RUNNER,2,6776,1,8.2,741.75,186,1,1,,
84,83,6253.591000,1,VART_RUNNER,2,6776,1,8.2,741.75,186,1,1,,
85,0,6338.528000,1,VART_RUNNER,2,6776,1,8.2,742.22,186,1,1,,
