DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
2468993.61,20.48,1.1,16.35,15.22,259.23,0,0,0,0,0,
2468983.60,19.56,1.21,14.33,15.02,241.93,0,0,0,0,0,
2468973.58,59.07,4.77,55.3,62.03,259.2,0,0,0,0,0,
2468963.56,32.53,23.39,29.54,371.33,241.93,0,0,0,0,0,
2468953.54,43.11,26.62,40.63,423.05,241.93,0,0,0,0,0,
2468943.52,48.83,2.63,47.22,39.67,259.2,0,0,0,0,0,
2468933.49,167.32,13.92,167.49,219.44,241.95,0,0,0,0,0,
2468923.44,304.63,12.51,307,207.7,259.2,0,863.55,0,858.2,0,
2468913.41,173.51,3.19,172.07,51.18,241.93,0,804.24,291.02,800.85,291.02,
2468903.37,218.54,9.51,221.03,153.76,241.93,0,0,0,0,0,
2468893.35,14.54,1.07,14.24,17.58,259.2,0,0,0,0,0,
2468883.33,61.72,4.83,55.1,64.43,241.93,0,0,0,0,0,
2468873.31,37.34,24.81,32.03,392.29,259.2,0,0,0,0,0,
2468863.29,45.11,25.53,40.92,405.55,241.93,0,0,0,0,0,
2468853.28,51.39,2.75,49.88,41.81,241.93,0,0,0,0,0,
2468843.25,172.26,13.98,171.36,220.87,259.2,0,0,0,0,0,
2468833.19,305.33,11.98,308.04,198.67,241.93,0,877,0,871.07,0,
2468823.17,186.36,3.78,187.9,63.14,259.23,0,795.95,291.02,782.83,291.02,
2468813.12,215.85,9.12,213.8,148.17,241.93,0,0,0,0,0,
2468803.10,10.95,0.95,8.35,11.98,241.93,0,0,0,0,0,
2468793.08,44.94,2.92,45.24,39.71,259.2,0,0,0,0,0,
2468783.06,69.11,4.09,62.31,57.37,241.93,0,0,0,0,0,
2468773.04,7.01,36.26,7.66,579.38,257.23,0,0,0,0,0,
2468763.02,46.05,12.47,43.29,196.82,244.61,0,0,0,0,0,
2468753.00,106.39,8.24,101.01,126.96,241.93,0,0,0,0,0,
2468742.97,258.86,15.76,266.34,250.8,259.2,0,0,0,0,0,
2468732.94,207.65,5.03,206.53,88.09,241.93,0,1325.38,80.28,1322.92,80.28,
2468722.90,316.92,11.97,319.67,194.13,253.54,0,337.35,210.74,333.25,210.74,
2468712.88,10.3,0.67,10.42,10.51,248.07,0,0,0,0,0,
2468702.86,23.43,1.36,19.32,18.75,241.93,0,0,0,0,0,
2468692.84,63.55,4.83,55.03,63.34,259.2,0,0,0,0,0,
2468682.82,37.6,18.47,32.02,291.07,241.93,0,0,0,0,0,
2468672.80,29.36,31.57,27.83,503.95,251.01,0,0,0,0,0,
2468662.78,51.08,2.21,52.76,33.62,250.68,0,0,0,0,0,
2468652.75,149.97,13.71,151.52,215.76,241.93,0,0,0,0,0,
2468642.70,315.66,13.34,319.26,220.41,259.2,0,724.42,0,721.26,0,
2468632.67,130.25,1.14,127.18,17.67,241.93,0,946.93,291.02,934.23,291.02,
2468622.60,271.96,11.12,270.32,181.73,245.81,0,0,0,0,0,
2468612.58,19.85,1.25,18.2,19.93,255.75,0,0,0,0,0,
2468602.56,64.33,5.08,59.39,66.6,241.93,0,0,0,0,0,
2468592.55,40.09,19.72,35.95,309.61,259.2,0,0,0,0,0,
2468582.53,31.85,30.63,27.71,487.03,241.93,0,0,0,0,0,
2468572.51,55.08,2.29,53.56,34.33,243.44,0,0,0,0,0,
2468562.48,152.53,13.72,150.82,215.49,258.36,0,0,0,0,0,
2468552.43,315.59,13.26,317.63,218.69,241.93,0,751.39,0,746.78,0,
2468542.41,129.97,1.27,127.77,19.39,259.2,0,920.11,291.02,908.57,291.02,
2468532.34,266.07,10.82,267.55,174.06,241.94,0,0,0,0,0,
2468522.32,19.96,1.11,17.4,16.23,241.95,0,0,0,0,0,
2468512.30,37.85,2.6,33.7,35.48,259.2,0,0,0,0,0,
2468502.28,67.25,3.8,61.93,50.63,241.94,0,0,0,0,0,
2468492.26,14.47,33.5,11.17,535.38,259.2,0,0,0,0,0,
